Log10 Density    Temperature
-16.1404         5041.4321
-16.1398         5041.6444
-16.1392         5041.8565
-16.1386         5042.0683
-16.1380         5042.2798
-16.1374         5042.4910
-16.1368         5042.7020
-16.1362         5042.9127
-16.1356         5043.1231
-16.1351         5043.3333
-16.1345         5043.5431
-16.1339         5043.7528
-16.1333         5043.9621
-16.1327         5044.1712
-16.1321         5044.3800
-16.1315         5044.5885
-16.1309         5044.7968
-16.1303         5045.0048
-16.1297         5045.2126
-16.1292         5045.4200
-16.1286         5045.6273
-16.1280         5045.8342
-16.1274         5046.0409
-16.1268         5046.2474
-16.1262         5046.4535
-16.1257         5046.6595
-16.1251         5046.8651
-16.1245         5047.0705
-16.1239         5047.2757
-16.1233         5047.4806
-16.1228         5047.6852
-16.1222         5047.8896
-16.1216         5048.0937
-16.1210         5048.2975
-16.1205         5048.5012
-16.1199         5048.7045
-16.1193         5048.9076
-16.1188         5049.1105
-16.1182         5049.3131
-16.1176         5049.5155
-16.1170         5049.7176
-16.1165         5049.9194
-16.1159         5050.1210
-16.1153         5050.3224
-16.1148         5050.5235
-16.1142         5050.7244
-16.1136         5050.9250
-16.1131         5051.1254
-16.1125         5051.3255
-16.1119         5051.5254
-16.1114         5051.7250
-16.1108         5051.9244
-16.1103         5052.1236
-16.1097         5052.3225
-16.1091         5052.5212
-16.1086         5052.7196
-16.1080         5052.9178
-16.1075         5053.1158
-16.1069         5053.3135
-16.1064         5053.5110
-16.1058         5053.7082
-16.1052         5053.9052
-16.1047         5054.1020
-16.1041         5054.2986
-16.1036         5054.4949
-16.1030         5054.6909
-16.1025         5054.8868
-16.1019         5055.0824
-16.1014         5055.2777
-16.1008         5055.4729
-16.1003         5055.6678
-16.0997         5055.8624
-16.0992         5056.0569
-16.0987         5056.2511
-16.0981         5056.4451
-16.0976         5056.6388
-16.0970         5056.8324
-16.0965         5057.0257
-16.0959         5057.2187
-16.0954         5057.4116
-16.0948         5057.6042
-16.0943         5057.7966
-16.0938         5057.9888
-16.0932         5058.1807
-16.0927         5058.3724
-16.0922         5058.5639
-16.0916         5058.7552
-16.0911         5058.9463
-16.0905         5059.1371
-16.0900         5059.3277
-16.0895         5059.5181
-16.0889         5059.7083
-16.0884         5059.8982
-16.0879         5060.0879
-16.0873         5060.2774
-16.0868         5060.4667
-16.0863         5060.6558
-16.0858         5060.8447
-16.0852         5061.0333
-16.0847         5061.2217
-16.0842         5061.4100
-16.0836         5061.5980
-16.0831         5061.7857
-16.0826         5061.9733
-16.0821         5062.1607
-16.0815         5062.3478
-16.0810         5062.5347
-16.0805         5062.7215
-16.0800         5062.9080
-16.0794         5063.0943
-16.0789         5063.2803
-16.0784         5063.4662
-16.0779         5063.6519
-16.0774         5063.8373
-16.0768         5064.0226
-16.0763         5064.2076
-16.0758         5064.3925
-16.0753         5064.5771
-16.0748         5064.7615
-16.0743         5064.9457
-16.0737         5065.1297
-16.0732         5065.3135
-16.0727         5065.4971
-16.0722         5065.6805
-16.0717         5065.8637
-16.0712         5066.0467
-16.0707         5066.2295
-16.0701         5066.4121
-16.0696         5066.5945
-16.0691         5066.7766
-16.0686         5066.9586
-16.0681         5067.1404
-16.0676         5067.3220
-16.0671         5067.5034
-16.0666         5067.6845
-16.0661         5067.8655
-16.0656         5068.0463
-16.0651         5068.2269
-16.0646         5068.4073
-16.0641         5068.5875
-16.0636         5068.7675
-16.0631         5068.9473
-16.0625         5069.1269
-16.0620         5069.3063
-16.0615         5069.4855
-16.0610         5069.6645
-16.0605         5069.8433
-16.0600         5070.0220
-16.0595         5070.2004
-16.0590         5070.3786
-16.0586         5070.5567
-16.0581         5070.7346
-16.0576         5070.9122
-16.0571         5071.0897
-16.0566         5071.2670
-16.0561         5071.4441
-16.0556         5071.6210
-16.0551         5071.7977
-16.0546         5071.9743
-16.0541         5072.1506
-16.0536         5072.3268
-16.0531         5072.5027
-16.0526         5072.6785
-16.0521         5072.8541
-16.0516         5073.0295
-16.0512         5073.2047
-16.0507         5073.3798
-16.0502         5073.5546
-16.0497         5073.7293
-16.0492         5073.9038
-16.0487         5074.0781
-16.0482         5074.2522
-16.0477         5074.4261
-16.0473         5074.5999
-16.0468         5074.7735
-16.0463         5074.9468
-16.0458         5075.1201
-16.0453         5075.2931
-16.0448         5075.4659
-16.0444         5075.6386
-16.0439         5075.8111
-16.0434         5075.9834
-16.0429         5076.1555
-16.0424         5076.3274
-16.0420         5076.4992
-16.0415         5076.6708
-16.0410         5076.8422
-16.0405         5077.0135
-16.0400         5077.1845
-16.0396         5077.3554
-16.0391         5077.5261
-16.0386         5077.6966
-16.0381         5077.8670
-16.0377         5078.0372
-16.0372         5078.2072
-16.0367         5078.3770
-16.0362         5078.5467
-16.0358         5078.7162
-16.0353         5078.8855
-16.0348         5079.0546
-16.0344         5079.2236
-16.0339         5079.3924
-16.0334         5079.5610
-16.0330         5079.7294
-16.0325         5079.8977
-16.0320         5080.0658
-16.0315         5080.2338
-16.0311         5080.4015
-16.0306         5080.5691
-16.0301         5080.7366
-16.0297         5080.9038
-16.0292         5081.0709
-16.0288         5081.2379
-16.0283         5081.4046
-16.0278         5081.5712
-16.0274         5081.7376
-16.0269         5081.9039
-16.0264         5082.0700
-16.0260         5082.2359
-16.0255         5082.4017
-16.0251         5082.5673
-16.0246         5082.7327
-16.0241         5082.8980
-16.0237         5083.0631
-16.0232         5083.2280
-16.0228         5083.3928
-16.0223         5083.5574
-16.0218         5083.7218
-16.0214         5083.8861
-16.0209         5084.0502
-16.0205         5084.2142
-16.0200         5084.3780
-16.0196         5084.5416
-16.0191         5084.7051
-16.0187         5084.8684
-16.0182         5085.0316
-16.0177         5085.1946
-16.0173         5085.3574
-16.0168         5085.5201
-16.0164         5085.6826
-16.0159         5085.8449
-16.0155         5086.0071
-16.0150         5086.1692
-16.0146         5086.3311
-16.0141         5086.4928
-16.0137         5086.6544
-16.0132         5086.8158
-16.0128         5086.9770
-16.0123         5087.1381
-16.0119         5087.2991
-16.0115         5087.4599
-16.0110         5087.6205
-16.0106         5087.7810
-16.0101         5087.9413
-16.0097         5088.1015
-16.0092         5088.2615
-16.0088         5088.4213
-16.0083         5088.5810
-16.0079         5088.7406
-16.0075         5088.9000
-16.0070         5089.0592
-16.0066         5089.2183
-16.0061         5089.3773
-16.0057         5089.5361
-16.0052         5089.6947
-16.0048         5089.8532
-16.0044         5090.0116
-16.0039         5090.1697
-16.0035         5090.3278
-16.0031         5090.4857
-16.0026         5090.6434
-16.0022         5090.8010
-16.0017         5090.9584
-16.0013         5091.1157
-16.0009         5091.2729
-16.0004         5091.4299
-16.0000         5091.5867
